Season_EN,Season_TE,Soil_EN,Soil_TE,N,P,K,pH,Temperature,Rainfall,Humidity,Crop_EN,Crop_TE,Organic_Fertilizer_EN,Organic_Fertilizer_TE,Inorganic_Fertilizer_EN,Inorganic_Fertilizer_TE,Organic_Pesticide_EN,Organic_Pesticide_TE,Inorganic_Pesticide_EN,Inorganic_Pesticide_TE
Kharif,ఖరీఫ్,Clay,బంకమట్టి,118,31,56,5.75,23,266,48,Drumstick,మునగ,Neem Cake,వేపపిండి,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Loamy,లోమీ,93,38,102,6.98,29,225,66,Grapes,ద్రాక్ష,Neem Cake,వేపపిండి,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Loamy,లోమీ,91,36,78,7.04,34,187,58,Beetroot,బీట్‌రూట్,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,71,29,55,7.15,20,189,82,Cabbage,క్యాబేజీ,Compost,కంపోస్ట్,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Loamy,లోమీ,94,25,38,6.43,31,69,63,Beetroot,బీట్‌రూట్,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Clay,బంకమట్టి,83,108,16,7.07,31,152,57,Coriander,కొత్తిమీర,Vermicompost,వర్మి కంపోస్ట్,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Black,నల్ల మట్టి,67,92,21,5.52,39,232,78,Gram,సెనగ,Farmyard Manure,పశువుల ఎరువు,Urea,యూరియా,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Red,ఎర్ర మట్టి,35,120,108,7.64,30,105,74,Pumpkin,గుమ్మడికాయ,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,64,66,26,7.58,33,296,56,Cotton,పత్తి,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Zaid,జైద్,Black,నల్ల మట్టి,24,52,95,7.65,21,209,43,Drumstick,మునగ,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Zaid,జైద్,Black,నల్ల మట్టి,112,97,51,7.54,40,82,30,Gram,సెనగ,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Sandy,మణల్,31,17,76,6.36,36,207,46,Grapes,ద్రాక్ష,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Clay,బంకమట్టి,119,80,93,8.0,36,252,74,Rice,వరి,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Loamy,లోమీ,61,42,26,5.59,33,101,63,Watermelon,పుచ్చకాయ,Neem Cake,వేపపిండి,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Loamy,లోమీ,39,102,104,6.1,40,152,58,Cauliflower,కాలీఫ్లవర్,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Sandy,మణల్,112,48,78,6.72,17,95,33,Guava,జామ,Neem Cake,వేపపిండి,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
